Name,RA,Dec,Distance
1998Y,07:36:56.930,+35:14:36.000,53.96 (3.79)
1999D,11:28:28.380,+58:33:39.000,45.88 (3.77)
1999an,12:01:10.570,+14:06:12.300,26.92 (6.69)
1999br,13:00:41.800,+02:29:45.800,17.30 (3.19)
1999ev,12:19:48.330,+29:37:22.200,19.41 (3.22)
1999gi,10:18:16.660,+41:26:28.200,7.24 (1.67)
2000P,13:07:10.529,-28:14:02.510,37.50 (6.91)
2001db,10:27:50.400,-43:54:21.000,37.33 (13.75)
2001cm,15:34:06.700,+56:41:26.200,52.00 (4.79)
2001du,03:33:29.110,-36:08:32.500,18.28 (0.51)
2002gd,23:14:37.010,+04:30:06.100,38.02 (7.88)
2003gd,01:36:42.650,+15:44:19.900,8.63 (1.63)
2003hr,08:24:39.060,+73:24:23.300,34.04 (12.54)
2004A,16:43:01.900,+36:50:12.500,15.42 (3.20)
2004am,09:55:46.610,+69:40:38.100,3.53 (0.13)
2004dg,14:59:58.960,+01:53:25.600,27.42 (5.68)
2004gd,07:09:11.710,+20:36:10.580,88.24 (3.92)
2005cs,13:29:53.370,+47:10:28.200,7.21 (1.10)
2006bc,07:21:16.500,-68:59:57.300,19.77 (4.10)
2006gy,03:17:27.060,+41:24:19.510,86.99 (3.92)
2006my,12:43:40.740,+16:23:14.100,27.67 (5.73)
2006ov,12:21:55.300,+04:29:16.700,10.09 (4.28)
2007aa,12:00:27.690,-01:04:51.600,10.57 (3.36)
2008aw,13:04:14.110,-10:19:12.900,42.46 (8.80)
2008iz,09:55:51.550,+69:40:45.800,3.53 (0.13)
2008cn,12:40:55.660,-40:58:12.100,37.33 (2.58)
2008ho,02:25:04.000,-24:48:02.400,29.79 (11.80)
2009H,02:45:58.360,-07:35:00.300,17.38 (3.60)
2009G,14:31:38.340,-43:25:02.800,13.43 (2.78)
2009N,12:31:09.460,-08:02:56.300,12.30 (3.06)
2009hd,11:20:16.990,+12:58:46.300,12.59 (0.52)
2009hq,12:10:38.030,+16:02:21.100,30.62 (5.08)
2009ib,04:17:40.090,-62:46:40.300,11.59 (2.40)
2009ls,10:51:14.580,+05:50:58.800,11.69 (2.10)
2009md,10:48:26.280,+12:32:02.800,20.04 (4.15)
2012aw,10:43:53.735,+11:40:17.630,10.47 (0.34)
2012dh,13:11:09.040,-28:00:33.100,23.44 (4.86)
