# object imagename zpt
1999an wfc3.f475w.ut140409_0003.drz.fits 33.14359476021228
1999an wfc3.f606w.ut140409_0002.drz.fits 33.52328900735103
1999an wfc3.f606w.ut140409_0004.drz.fits 32.45505359262175
1999an wfpc2.f606w.ut950105_0001.drz.fits 28.520977921746617
2001du acs.f814w.ut190407_0010.drz.fits 34.27753234269979
2001du wfpc2.f160bw.ut950115_0001.drz.fits 26.146098072578663
2001du wfpc2.f336w.ut011126_0007.drz.fits 26.73419091405367
2001du wfpc2.f336w.ut950115_0002.drz.fits 26.056523983337325
2001du wfpc2.f439w.ut011126_0009.drz.fits 26.526875898771525
2001du wfpc2.f555w.ut950115_0003.drz.fits 28.00890014952776
2001du wfpc2.f675w.ut011126_0008.drz.fits 28.049960313553438
2001du wfpc2.f814w.ut011126_0006.drz.fits 28.36411973690806
2001du wfpc2.f814w.ut950115_0004.drz.fits 27.541472938747496
2003gd acs.f435w.ut030801_0004.drz.fits 33.5902446403197
2003gd acs.f435w.ut031120_0009.drz.fits 34.86451799560885
2003gd acs.f435w.ut041208_0011.drz.fits 32.403043798912215
2003gd acs.f555w.ut030802_0005.drz.fits 32.850898894650584
2003gd acs.f555w.ut031120_0008.drz.fits 34.08041570620625
2003gd acs.f625w.ut041208_0012.drz.fits 31.752482616185585
2003gd acs.f814w.ut030802_0006.drz.fits 33.101951659211956
2003gd acs.f814w.ut031120_0007.drz.fits 33.935226144554555
2003gd wfc3.f438w.ut161122_0020.drz.fits 33.32394180522417
2003gd wfc3.f555w.ut161004_0018.drz.fits 32.923533508491545
2003gd wfc3.f606w.ut161122_0019.drz.fits 34.520912619787545
2003gd wfc3.f814w.ut161004_0017.drz.fits 32.35002747575198
2003gd wfpc2.f300w.ut020825_0002.drz.fits 29.462305955316584
2003gd wfpc2.f450w.ut070621_0013.drz.fits 29.19562530534335
2003gd wfpc2.f606w.ut020825_0001.drz.fits 30.510677965106805
2003gd wfpc2.f606w.ut020828_0003.drz.fits 31.316226201941603
2003gd wfpc2.f622w.ut070811_0015.drz.fits 30.535183561002906
2003gd wfpc2.f675w.ut070621_0014.drz.fits 28.69140332723602
2003gd wfpc2.f814w.ut070811_0016.drz.fits 30.11481011400266
2003hr acs.f435w.ut050303_0007.drz.fits 32.40251908447495
2003hr acs.f555w.ut041130_0005.drz.fits 31.947845995118513
2003hr acs.f625w.ut050303_0008.drz.fits 31.751990631825127
2003hr acs.f658n.ut031108_0004.drz.fits 30.504517405031983
2003hr acs.f814w.ut041130_0006.drz.fits 32.41718142272624
2003hr wfc3.f110w.ut160425_0009.drz.fits 33.00623165748126
2003hr wfc3.f128n.ut160425_0010.drz.fits 31.09431893786569
2003hr wfpc2.f300w.ut000612_0002.drz.fits 29.02207780767738
2003hr wfpc2.f814w.ut000612_0001.drz.fits 28.14194352728989
2004A acs.f435w.ut040923_0008.drz.fits 33.5430955972818
2004A acs.f555w.ut040812_0004.drz.fits 31.948449176719937
2004A acs.f555w.ut040923_0009.drz.fits 33.66939088701876
2004A acs.f625w.ut040813_0007.drz.fits 31.75315936456751
2004A acs.f814w.ut040812_0005.drz.fits 32.41769288705736
2004A acs.f814w.ut040923_0010.drz.fits 33.78479603951676
2004A wfpc2.f300w.ut000803_0001.drz.fits 28.269502818517427
2004A wfpc2.f606w.ut010702_0003.drz.fits 29.66757254431074
2004A wfpc2.f814w.ut010702_0002.drz.fits 28.76140473656678
2004dg acs.f435w.ut050310_0005.drz.fits 33.68704297354592
2004dg acs.f555w.ut050310_0006.drz.fits 33.58706291886713
2004dg acs.f658n.ut040403_0004.drz.fits 29.874124172260647
2004dg acs.f814w.ut040403_0003.drz.fits 31.902300585333847
2004dg acs.f814w.ut050310_0007.drz.fits 34.02626949468987
2004dg acs.f814w.ut150630_0011.drz.fits 34.363100967946664
2004dg acs.f814w.ut190419_0014.drz.fits 34.24709582098356
2004dg acs.f814w.ut190525_0015.drz.fits 34.351357219255
2004dg wfc3.f225w.ut150630_0010.drz.fits 33.509852225055724
2004dg wfc3.f438w.ut150626_0009.drz.fits 34.220571100136574
2004dg wfc3.f438w.ut180430_0013.drz.fits 31.950542658112802
2004dg wfc3.f438w.ut190625_0017.drz.fits 34.15308715946158
2004dg wfc3.f555w.ut150626_0008.drz.fits 35.17033782624318
2004dg wfc3.f814w.ut180430_0012.drz.fits 32.34814294134455
2004dg wfpc2.f450w.ut010705_0001.drz.fits 28.594794917067425
2004dg wfpc2.f814w.ut010705_0002.drz.fits 28.76140473656678
2006bc acs.f435w.ut061014_0003.drz.fits 33.51246388554614
2006bc acs.f555w.ut061014_0005.drz.fits 33.64251905664369
2006bc acs.f814w.ut061014_0004.drz.fits 33.94178556786372
2006bc wfc3.f475w.ut131218_0010.drz.fits 33.13028801965421
2006bc wfc3.f814w.ut131218_0011.drz.fits 32.55729798711033
2006bc wfc3.f814w.ut131218_0012.drz.fits 31.483332491377748
2006bc wfpc2.f450w.ut011117_0001.drz.fits 28.594794917067425
2006bc wfpc2.f606w.ut070907_0006.drz.fits 31.020977921746617
2006bc wfpc2.f606w.ut080217_0008.drz.fits 31.020977921746617
2006bc wfpc2.f814w.ut011117_0002.drz.fits 28.76140473656678
2006bc wfpc2.f814w.ut080217_0009.drz.fits 30.11481011400266
2006my acs.f555w.ut101121_0006.drz.fits 33.301127969062954
2006my acs.f814w.ut101121_0007.drz.fits 33.53420261254067
2006my acs.f814w.ut190525_0008.drz.fits 34.255229083901796
2006my wfpc2.f450w.ut070427_0005.drz.fits 29.803220427059085
2006my wfpc2.f555w.ut070426_0003.drz.fits 30.26988880628329
2006my wfpc2.f814w.ut070427_0004.drz.fits 29.80246327248191
2006my wfpc2.f814w.ut940520_0002.drz.fits 29.153369996217517
2006ov acs.f435w.ut061212_0004.drz.fits 31.64595936901387
2006ov acs.f435w.ut120524_0007.drz.fits 33.24754738539532
2006ov acs.f814w.ut120524_0008.drz.fits 33.53325695572962
2006ov acs.f814w.ut190407_0009.drz.fits 34.24711649002231
2006ov wfc3.f275w.ut200329_0013.drz.fits 32.50027436687972
2006ov wfc3.f336w.ut200329_0012.drz.fits 32.30064089509487
2006ov wfc3.f438w.ut200329_0011.drz.fits 32.372209225057325
2006ov wfc3.f555w.ut200329_0014.drz.fits 32.85372599878651
2006ov wfc3.f555w.ut210728_0016.drz.fits 32.91405897279696
2006ov wfc3.f814w.ut200329_0010.drz.fits 32.37740020729891
2006ov wfc3.f814w.ut210728_0015.drz.fits 32.34422863458066
2006ov wfpc2.f450w.ut010726_0002.drz.fits 28.594794917067425
2006ov wfpc2.f606w.ut940606_0001.drz.fits 28.520977921746617
2006ov wfpc2.f675w.ut090125_0006.drz.fits 28.69140332723602
2006ov wfpc2.f814w.ut010726_0003.drz.fits 28.76140473656678
2008ho wfc3.f621m.ut100208_0006.drz.fits 32.63067445370216
2008ho wfc3.f665n.ut100208_0005.drz.fits 32.29268391593253
2008ho wfpc2.f300w.ut070625_0001.drz.fits 30.3183626573721
2008ho wfpc2.f439w.ut070625_0002.drz.fits 29.66832140322783
2008ho wfpc2.f814w.ut070626_0003.drz.fits 30.995266409281065
2008iz acs.f330w.ut051206_0016.drz.fits 33.25910907984505
2008iz acs.f435w.ut051203_0015.drz.fits 32.724748311132025
2008iz acs.f435w.ut060327_0019.drz.fits 33.81258770721675
2008iz acs.f475w.ut161014_0045.drz.fits 32.74767176783087
2008iz acs.f475w.ut170428_0049.drz.fits 32.747333090488034
2008iz acs.f550m.ut051203_0013.drz.fits 31.745044580172017
2008iz acs.f550m.ut060131_0017.drz.fits 30.992141074489144
2008iz acs.f555w.ut060327_0020.drz.fits 33.55349700335972
2008iz acs.f606w.ut161014_0044.drz.fits 32.68116896712641
2008iz acs.f606w.ut170428_0048.drz.fits 32.68083022847851
2008iz acs.f658n.ut040209_0012.drz.fits 29.874441852099682
2008iz acs.f658n.ut060327_0021.drz.fits 31.865745487317323
2008iz acs.f775w.ut150327_0043.drz.fits 31.608909094989585
2008iz acs.f775w.ut170428_0050.drz.fits 31.60759747435692
2008iz acs.f814w.ut040209_0011.drz.fits 31.90255671964783
2008iz acs.f814w.ut051203_0014.drz.fits 30.6374590682295
2008iz acs.f814w.ut060327_0018.drz.fits 33.06107748591095
2008iz acs.f814w.ut190404_0053.drz.fits 34.410958525785375
2008iz acs.f814w.ut190613_0054.drz.fits 34.41083804659928
2008iz wfc3.f110w.ut091117_0007.drz.fits 34.515570386827214
2008iz wfc3.f110w.ut091117_0029.drz.fits 34.515570386827214
2008iz wfc3.f110w.ut100101_0039.drz.fits 34.51277886745878
2008iz wfc3.f128n.ut091117_0011.drz.fits 30.650695152266
2008iz wfc3.f128n.ut091117_0033.drz.fits 30.650695152266
2008iz wfc3.f160w.ut091117_0008.drz.fits 33.634182601744804
2008iz wfc3.f160w.ut091117_0030.drz.fits 33.634182601744804
2008iz wfc3.f160w.ut100101_0038.drz.fits 34.386060383639744
2008iz wfc3.f164n.ut091117_0012.drz.fits 31.33898710573855
2008iz wfc3.f164n.ut091117_0034.drz.fits 31.33898710573855
2008iz wfc3.f225w.ut091115_0002.drz.fits 28.515657793827287
2008iz wfc3.f225w.ut091115_0024.drz.fits 28.515657793827287
2008iz wfc3.f225w.ut091117_0006.drz.fits 31.643754459052612
2008iz wfc3.f225w.ut091117_0028.drz.fits 31.643754459052612
2008iz wfc3.f225w.ut100101_0037.drz.fits 32.12413677648593
2008iz wfc3.f275w.ut161215_0047.drz.fits 31.487689957974517
2008iz wfc3.f280n.ut131130_0041.drz.fits 31.973982843040776
2008iz wfc3.f280n.ut131202_0042.drz.fits 31.657715470206583
2008iz wfc3.f336w.ut091115_0004.drz.fits 29.135973914848645
2008iz wfc3.f336w.ut091115_0026.drz.fits 29.135973914848645
2008iz wfc3.f336w.ut091117_0005.drz.fits 32.24356726377859
2008iz wfc3.f336w.ut091117_0027.drz.fits 32.24356726377859
2008iz wfc3.f336w.ut100101_0036.drz.fits 32.714345056227614
2008iz wfc3.f336w.ut131130_0040.drz.fits 33.35907715932594
2008iz wfc3.f373n.ut091114_0023.drz.fits 30.544215589338563
2008iz wfc3.f373n.ut091115_0001.drz.fits 30.10968684403764
2008iz wfc3.f487n.ut091117_0010.drz.fits 30.701479075913063
2008iz wfc3.f487n.ut091117_0032.drz.fits 30.701479075913063
2008iz wfc3.f547m.ut091117_0009.drz.fits 31.867362009742106
2008iz wfc3.f547m.ut091117_0031.drz.fits 31.867362009742106
2008iz wfc3.f547m.ut100101_0035.drz.fits 32.31771832735126
2008iz wfc3.f555w.ut171217_0052.drz.fits 32.92115784884147
2008iz wfc3.f673n.ut091115_0003.drz.fits 31.189855968120156
2008iz wfc3.f673n.ut091115_0025.drz.fits 31.189855968120156
2008iz wfc3.f814w.ut171217_0051.drz.fits 32.348575038832905
2008iz wfpc2.f336w.ut090103_0022.drz.fits 28.925105707715225
2008iz wfpc2.f439w.ut970915_0006.drz.fits 30.601112465595342
